Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR11933488,2020-06-11 09:51:39,2020-06-05 11:36:38,36702826,1802152191,0,49,1077,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933488/SRR11933488.lite.1,SRX8478678,L1,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778622,SAMN15144741,simple,4577,Zea mays,05W002_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,EB5EA55B63643910B78A1CD6D95FF084,844E33CA0BD469102C161C9786837006
SRR11933487,2020-06-11 09:51:39,2020-06-05 11:35:17,39798356,2026658629,0,50,735,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933487/SRR11933487.lite.1,SRX8478679,L2,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778621,SAMN15144742,simple,4577,Zea mays,05W002_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,15F251A3EDA1CC0A6EE608D001F881E9,85A20114D9DB76B47A90F3EC1DAA01B4
SRR11932937,2020-06-11 09:51:35,2020-06-05 10:58:23,21739040,1084596215,0,49,537,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932937/SRR11932937.lite.1,SRX8478369,L3,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778311,SAMN15144743,simple,4577,Zea mays,05W002_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,E7A4CD76DCA757C282715E1310416BE2,0F7FF6937D8552C07F842395F0D352D3
SRR11933219,2020-06-11 09:51:37,2020-06-05 11:22:52,37265774,1896530663,0,50,636,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933219/SRR11933219.lite.1,SRX8478517,L4,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778460,SAMN15144744,simple,4577,Zea mays,05WN230_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,00F6911E06E47551077C9CD9DDE9DECB,EFD2B3ED11F155C6B28CFF0783C47C1F
SRR11933108,2020-06-11 09:51:38,2020-06-05 11:12:44,32623484,1634871246,0,50,893,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933108/SRR11933108.lite.1,SRX8478628,L5,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778571,SAMN15144745,simple,4577,Zea mays,05WN230_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,54F193E1ED12F2A32225CF82B9B40C16,87C06CFF21741F04880B0A38BBCD1A9B
SRR11933403,2020-06-11 09:51:39,2020-06-05 11:29:06,33952993,1725165054,0,50,619,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11933/SRR11933403/SRR11933403.lite.1,SRX8478763,L6,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778705,SAMN15144746,simple,4577,Zea mays,05WN230_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,DC834F9E9DA40EE7723ACC987D2C64A6,29C9688B11014F304408ACCBB1BF848B
SRR11933292,2020-06-11 09:51:40,2020-06-05 11:28:49,59575581,3035399899,0,50,858,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11933/SRR11933292/SRR11933292.lite.1,SRX8478874,L7,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778816,SAMN15144747,simple,4577,Zea mays,07KS4_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,83ACFB0E564CB4D0280947FA9C7ABE52,A95549CB25B6D27959A2BAFE8AD3F5A2
SRR11932925,2020-06-11 09:51:35,2020-06-05 11:11:13,41410724,2044067968,0,49,1195,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR011/11932/SRR11932925/SRR11932925.lite.1,SRX8478381,L8,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778324,SAMN15144748,simple,4577,Zea mays,07KS4_WS2,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,DD8D15174F5922E1E1D9634E1B5F7CE3,58556792F533B84D83CAC521D20354AE
SRR11932914,2020-06-11 09:51:36,2020-06-05 11:15:23,101583177,4619108721,0,45,2633,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932914/SRR11932914.lite.1,SRX8478392,L9,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778335,SAMN15144749,simple,4577,Zea mays,07KS4_WW,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,A8BE3C01287716D04E2E0BFCBD3A178B,A1CA14E9D9BFE0F6194F0EE9E0223502
SRR11932879,2020-06-11 09:51:36,2020-06-05 11:02:52,47931295,2438080962,0,50,928,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR011/11932/SRR11932879/SRR11932879.lite.1,SRX8478427,L10,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP266111,PRJNA637522,,637522,SRS6778370,SAMN15144750,simple,4577,Zea mays,1462_WS1,,,,,,,no,,,,,CHINA AGRICULTURAL UNIVERSITY,SRA1083660,,public,5091458B05BF175D739A132D266ABFB5,3370524CC9B913F31D5A8F04E8E4EE2F
